"StudentID","Appreciation","Comments"
"300124366",":1st_place_medal:","1️⃣ Bonne illustration, commenter de préférence par image"
"300147253",":1st_place_medal:","2️⃣ Bonne illustration et documentation"
"300147891",":x:","1️⃣ Rien à corriger"
"300155045",":1st_place_medal:","1️⃣ Bonne illustration et documentation"
"300151722",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration"
"300152004",":x:","1️⃣ Rien à corriger"
"300153405",":x:","1️⃣ Rien à corriger"
"300153416",":1st_place_medal:","1️⃣ Trés bonne illustration et documentation"
"300155462",":1st_place_medal:","2️⃣ Bonne illustration et documentation"
"300156534",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration"
"300157250",":1st_place_medal:","2️⃣ Bonne illustration et documentation"
"300157298",":x:","1️⃣ Rien à corriger"
"300157307",":x:","1️⃣ Rien à corriger"
"300157423",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration"
"300157606",":1st_place_medal:","1️⃣ Bonne illustration et documentation"
"300157727",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration disque nVME"
"300157733",":2nd_place_medal:","1️⃣ Bonne illustration mais aucun texte  "
"300158085",":1st_place_medal:","2️⃣ Bonne illustration et documentation"
"300159180",":x:","1️⃣ Rien à corriger"
"300159195",":1st_place_medal:","1️⃣ Trés bonne illustration et documentation"
"300159203",":1st_place_medal:","1️⃣ Bonne illustration et documentation"
"300159437",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration disque nVME"
"300159463",":x:","1️⃣ Rien à corriger"
"300159693",":1st_place_medal:","2️⃣ Bonne illustration et documentation "
"300159672",":1st_place_medal:","1️⃣ Bonne illustration et documentation"
"300159887",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration"
"300159995",":x:","1️⃣ Rien à corriger"
"300160006",":1st_place_medal:","1️⃣ Bonne illustration et documentation"
"300160424",":x:","1️⃣ Rien à corriger"
"300160504",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration"
"300160733",":1st_place_medal:","2️⃣ Bonne illustration et documentation "
"300160862",":2nd_place_medal:","1️⃣ Bon texte mais aucune illustration"
